,cod_location,date_id,total_cases
48826,196,20201029,368513.0
49041,197,20201025,701.0
49042,197,20201026,701.0
49043,197,20201027,701.0
49044,197,20201028,703.0
49045,197,20201029,703.0
49263,198,20201025,11297.0
49264,198,20201026,11443.0
49265,198,20201027,11557.0
49266,198,20201028,11621.0
49267,198,20201029,11767.0
49498,199,20201025,337410.0
49499,199,20201026,343489.0
49500,199,20201027,348924.0
49501,199,20201028,355601.0
49502,199,20201029,363075.0
49802,200,20201025,123764.0
49803,200,20201026,125123.0
49804,200,20201027,126234.0
49805,200,20201028,127624.0
49806,200,20201029,129024.0
50106,201,20201025,854010.0
50107,201,20201026,873800.0
50108,201,20201027,894690.0
50109,201,20201028,917575.0
50110,201,20201029,942275.0
50410,202,20201025,8576725.0
50411,202,20201026,8636165.0
50412,202,20201027,8704524.0
50413,202,20201028,8779653.0
50414,202,20201029,8858024.0
50630,203,20201025,1348.0
50631,203,20201026,1348.0
50632,203,20201027,1348.0
50633,203,20201028,1353.0
50634,203,20201029,1353.0
50859,204,20201025,2807.0
50860,204,20201026,2851.0
50861,204,20201027,2872.0
50862,204,20201028,2916.0
50863,204,20201029,2981.0
51087,205,20201025,65200.0
51088,205,20201026,65480.0
51089,205,20201027,65765.0
51090,205,20201028,66037.0
51091,205,20201029,66313.0
51319,206,20201025,26.0
51320,206,20201026,26.0
51321,206,20201027,26.0
51322,206,20201028,26.0
51323,206,20201029,26.0
51548,207,20201025,89142.0
51549,207,20201026,89565.0
51550,207,20201027,90047.0
51551,207,20201028,90400.0
51552,207,20201029,90876.0
51852,208,20201025,1160.0
51853,208,20201026,1168.0
51854,208,20201027,1169.0
51855,208,20201028,1172.0
51856,208,20201029,1173.0
51865,209,20201025,1.0
51866,209,20201026,1.0
51867,209,20201027,1.0
51868,209,20201028,1.0
51869,209,20201029,1.0
52052,210,20201025,766.0
52053,210,20201026,766.0
52054,210,20201027,766.0
52055,210,20201028,766.0
52056,210,20201029,766.0
52255,212,20201025,2064.0
52256,212,20201026,2064.0
52257,212,20201027,2064.0
52258,212,20201028,2064.0
52259,212,20201029,2064.0
52480,213,20201025,16117.0
52481,213,20201026,16117.0
52482,213,20201027,16200.0
52483,213,20201028,16243.0
52484,213,20201029,16325.0
52703,214,20201025,8269.0
52704,214,20201026,8276.0
52705,214,20201027,8303.0
52706,214,20201028,8315.0
52707,214,20201029,8320.0
53007,211,20201025,42783431.0
53008,211,20201026,43222201.0
53009,211,20201027,43633652.0
53010,211,20201028,44095274.0
53011,211,20201029,44574981.0
53311,92,20201025,696.0
53312,92,20201026,696.0
53313,92,20201027,696.0
53314,92,20201028,696.0
53315,92,20201029,696.0
